,geoFIPS,NAME
1048,g21089,Greenup
1049,g21093,Hardin
1050,g21095,Harlan
1051,g21097,Harrison
1052,g21101,Henderson
1053,g21107,Hopkins
1054,g21109,Jackson
1055,g21115,Johnson
1056,g21119,Knott
1057,g21121,Knox
1058,g21123,Larue
1059,g21125,Laurel
1060,g21131,Leslie
1061,g21133,Letcher
1062,g21135,Lewis
1063,g21139,Livingston
1064,g21151,Madison
1065,g21153,Magoffin
1066,g21155,Marion
1067,g21165,Menifee
1068,g21167,Mercer
1069,g21169,Metcalfe
1070,g21175,Morgan
1071,g21177,Muhlenberg
1072,g21179,Nelson
1073,g21035,Calloway
1074,g21037,Campbell
1075,g21039,Carlisle
1076,g21041,Carroll
1077,g21045,Casey
1078,g21047,Christian
1079,g21087,Green
1080,g21091,Hancock
1081,g21099,Hart
1082,g21103,Henry
1083,g21105,Hickman
1084,g21111,Jefferson
1085,g21113,Jessamine
1086,g21117,Kenton
1087,g21053,Clinton
1088,g21057,Cumberland
1089,g21063,Elliott
1090,g21069,Fleming
1091,g21073,Franklin
1092,g21075,Fulton
1093,g21077,Gallatin
1094,g21081,Grant
1095,g21083,Graves
1096,g21129,Lee
1097,g21137,Lincoln
1098,g21141,Logan
1099,g21143,Lyon
1100,g21145,McCracken
1101,g21147,McCreary
1102,g21149,McLean
1103,g21159,Martin
1104,g21011,Bath
1105,g21157,Marshall
1106,g21161,Mason
1107,g21163,Meade
1108,g21171,Monroe
1109,g21173,Montgomery
1110,g21181,Nicholas
1111,g21065,Estill
1112,g21127,Lawrence
1113,g22047,Iberville
1114,g22049,Jackson
1115,g22059,La Salle
1116,g22061,Lincoln
1117,g22069,Natchitoches
1118,g22073,Ouachita
1119,g22079,Rapides
1120,g22083,Richland
1121,g22087,St. Bernard
1122,g22089,St. Charles
1123,g22093,St. James
1124,g22095,St. John the Baptist
1125,g22101,St. Mary
1126,g22115,Vernon
1127,g22121,West Baton Rouge
1128,g22125,West Feliciana
1129,g22021,Caldwell
1130,g22075,Plaquemines
1131,g22119,Webster
1132,g22001,Acadia
1133,g22003,Allen
1134,g22005,Ascension
1135,g22007,Assumption
1136,g22009,Avoyelles
1137,g22013,Bienville
1138,g22015,Bossier
1139,g22017,Caddo
1140,g22025,Catahoula
1141,g22029,Concordia
1142,g22031,De Soto
1143,g22033,East Baton Rouge
1144,g22035,East Carroll
1145,g22037,East Feliciana
1146,g22039,Evangeline
1147,g22041,Franklin
1148,g22045,Iberia
1149,g22051,Jefferson
1150,g22053,Jefferson Davis
1151,g22055,Lafayette
1152,g22057,Lafourche
1153,g22063,Livingston
1154,g22065,Madison
1155,g22067,Morehouse
1156,g22071,Orleans
1157,g22077,Pointe Coupee
1158,g22081,Red River
1159,g22085,Sabine
1160,g22091,St. Helena
1161,g22097,St. Landry
1162,g22099,St. Martin
1163,g22103,St. Tammany
1164,g22105,Tangipahoa
1165,g22107,Tensas
1166,g22109,Terrebonne
1167,g22111,Union
1168,g22113,Vermilion
1169,g22117,Washington
1170,g22123,West Carroll
1171,g22127,Winn
1172,g22011,Beauregard
1173,g22019,Calcasieu
1174,g22023,Cameron
1175,g22027,Claiborne
1176,g22043,Grant
1177,g23001,Androscoggin
1178,g23003,Aroostook
1179,g23005,Cumberland
1180,g23007,Franklin
1181,g23009,Hancock
1182,g23011,Kennebec
1183,g23013,Knox
1184,g23015,Lincoln
1185,g23017,Oxford
1186,g23019,Penobscot
1187,g23021,Piscataquis
1188,g23023,Sagadahoc
1189,g23025,Somerset
1190,g23027,Waldo
1191,g23029,Washington
1192,g23031,York
1193,g24001,Allegany
1194,g24003,Anne Arundel
1195,g24005,Baltimore
1196,g24009,Calvert
1197,g24011,Caroline
1198,g24013,Carroll
1199,g24015,Cecil
1200,g24017,Charles
1201,g24019,Dorchester
1202,g24021,Frederick
1203,g24023,Garrett
1204,g24025,Harford
1205,g24027,Howard
1206,g24029,Kent
1207,g24031,Montgomery
1208,g24033,Prince George's
1209,g24035,Queen Anne's
1210,g24037,St. Mary's
1211,g24039,Somerset
1212,g24041,Talbot
1213,g24043,Washington
1214,g24045,Wicomico
1215,g24047,Worcester
1216,g24510,Baltimore
1217,g25001,Barnstable
1218,g25003,Berkshire
1219,g25005,Bristol
1220,g25007,Dukes
1221,g25009,Essex
1222,g25011,Franklin
1223,g25013,Hampden
1224,g25015,Hampshire
1225,g25017,Middlesex
1226,g25019,Nantucket
1227,g25021,Norfolk
1228,g25023,Plymouth
